labels,data,possibly nonmaximal primes,probably nonmaximal primes
1728.a.27648.1,"[[0, 0, 0, -1, -3, 0, 3], [1, 1]]","{2, 3, 5, 7}","{2, 3}"
1738.a.137302.1,"[[-41, -101, -66, -5, 0, 1], [0, 1]]","{2, 3, 5, 7}",{2}
1740.a.104400.1,"[[0, 30, -5, -14, 0, 2], [0, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
1743.a.597849.1,"[[-1, 1, -1, 3, 3, 2, 3], [1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
1744.a.1744.1,"[[0, 1, 0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
1746.a.10476.1,"[[0, -1, 0, 0, 2, 1, 1], [1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
1753.a.1753.1,"[[0, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1757.a.1757.1,"[[0, 0, 1, 1], [1, 1, 1, 1]]","{2, 3, 5, 7}",{2}
1770.a.26550.1,"[[3, 7, 0, -7, 0, 3], [0, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
1776.a.7104.1,"[[12, 14, 15, 8, 4, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}","{2, 5}"
1776.b.191808.1,"[[0, 0, -1, 0, 1, 2], [1]]","{2, 3, 5, 7}","{2, 5}"
1777.a.1777.1,"[[-8, -1, 7, 0, -3], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
1788.a.14304.1,"[[0, -1, 0, 0, 2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
1791.a.5373.1,"[[0, 0, -1, 2, 6, 3], [1]]","{2, 3, 5, 7}","{2, 5}"
1795.a.224375.1,"[[-23, 6, -23, 3, -8, 0, -1], [0, 1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
1797.a.5391.1,"[[0, 0, 1, 2, -4, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
1798.a.3596.1,"[[1, 1, 4, 2, 4, 1], [0, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
1811.a.1811.1,"[[0, -1, 0, 1, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1811.b.1811.1,"[[2, -1, -3, -1, 1, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}","{2, 7}"
1813.a.1813.1,"[[0, 1, 1, 2, 1, 1], [1]]","{2, 3, 23, 5, 7, 13}","{2, 3}"
1832.a.3664.1,"[[0, 1, -3, -1, 4, 2], [0, 1]]","{2, 3, 5, 7}",{2}
1832.b.3664.1,"[[-1, 4, 0, -15, 11, 1], [1, 0, 1]]","{2, 3, 5, 7}",{2}
1832.b.14656.1,"[[0, 0, -2, -4, 0, 2], [1, 1]]","{2, 3, 5, 7}",{2}
1835.a.1835.1,"[[0, -2, 5, -4, 0, 1], [1]]","{2, 3, 5, 7}",{2}
1835.b.1835.1,"[[-2, -1, 4, 0, -2], [0, 0, 0, 1]]","{2, 3, 5, 7}","{2, 5}"
1844.a.3688.1,"[[0, -1, -1, 1, 1], [1, 0, 1, 1]]","{2, 3, 5, 7}",{}
1844.b.29504.1,"[[0, 1, 0, -5, 2, -1], [1, 1, 1]]","{2, 3, 5, 7}","{2, 5}"
1844.c.118016.1,"[[-8, 27, -31, 8, 0, 2], [1, 1, 1]]","{2, 3, 5, 7}","{2, 7}"
1848.a.99792.1,"[[-1, 0, -2, -1, 0, -2], [1, 1]]","{2, 3, 5, 7}",{2}
1854.a.11124.1,"[[1, 1, -2, -2], [0, 1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
1861.a.1861.1,"[[0, 0, -1, 1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
1863.a.1863.1,"[[0, 1, -5, 0, 4, 2], [1, 1, 0, 1]]","{577, 2, 3, 5, 7, 11, 23, 31}",{2}
1863.b.1863.1,"[[0, -1, -1, 0, 1, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7, 13}","{2, 3}"
1870.a.226270.1,"[[-9, 2, -2, 9, -1, 1, -2], [1, 1]]","{2, 3, 5, 7}","{2, 3}"
1872.b.29952.1,"[[0, 1, -2, 2, -1, 1], []]","{2, 3, 5, 7}","{2, 5}"
1872.b.479232.1,"[[0, 2, 3, -8, -15, 4], [1]]","{2, 3, 5, 7}","{2, 5}"
1876.a.7504.1,"[[0, -1, 1, 0, -1, 1], [1, 0, 1]]","{2, 3, 5, 7}",{2}
1888.a.241664.1,"[[0, -1, -1, -2, -1, 1], []]","{2, 3, 5, 7}",{2}
1888.a.483328.1,"[[56, 64, 1, -16, -3, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1888.a.483328.2,"[[-4, 20, -31, 8, 8, 1], []]","{2, 3, 5, 7}",{2}
1896.a.728064.1,"[[-3, 11, 0, -8, -2, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 5}"
1899.a.5697.1,"[[2, -3, 0, 0, 1, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1900.a.3800.1,"[[0, -1, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{3}
1904.a.487424.1,"[[1, -1, -2, 0, 0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 5}"
1908.a.183168.1,"[[0, 2, 4, 3, 2], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
1911.a.5733.1,"[[-4, -1, -8, 0, -4, 1], [0, 0, 1]]","{2, 3, 5, 7}",{2}
1915.a.1915.1,"[[0, -1, 0, 0, -2, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
1919.a.1919.1,"[[0, 0, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1922.a.3844.1,"[[0, 2, -2, -3, 1, 1], [0, 1, 1]]","{2, 3, 5, 7, 31}",{2}
1923.a.1923.1,"[[-1, 1, -3, 2, -3, 1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{5}
1923.b.17307.1,"[[2, 1, 3, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
1929.a.1929.1,"[[0, 0, -1, 1, -1, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
1929.a.52083.1,"[[0, 2, 7, 6, 0, 9], [1, 1, 1]]","{2, 3, 5, 7}",{2}
1935.a.52245.2,"[[-1134, 927, -20, -82, -2, 1], [0, 1]]","{2, 3, 5, 7}",{2}
1935.a.52245.1,"[[-4, -1, 3, 2, 2], [0, 0, 1, 1]]","{2, 3, 5, 7}",{2}
1944.a.34992.1,"[[0, 1, -3, 0, 2, 2], [0, 1]]","{2, 3, 5, 7}","{2, 3}"
1947.a.578259.1,"[[-1, -8, -16, 1, 2, 1], [0, 1, 1]]","{2, 3, 5, 7}",{2}
1952.a.15616.1,"[[0, -1, 0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
1952.b.999424.1,"[[1, -2, -3, 4, 3, 2], []]","{2, 3, 5, 7}",{2}
1961.a.1961.1,"[[0, -1, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1973.a.1973.1,"[[0, -1, 1, 0, 0, -1, 1], [1]]","{2, 3, 5, 7}",{}
1981.a.1981.1,"[[0, 0, -1, -1, 2, 1], [1]]","{2, 3, 5, 7}","{2, 7}"
1982.a.63424.1,"[[0, 0, 1, -1, 1, -1], [1, 1]]","{2, 3, 5, 7}",{2}
1985.a.1985.1,"[[0, -1, 0, 0, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1987.a.1987.1,"[[-1, -1, 1, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7, 13}",{}
1989.a.1989.1,"[[-1, -1], [1, 1, 1, 1]]","{2, 3, 5, 7}","{2, 5}"
1991.a.1991.1,"[[0, 1, 2, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
1995.a.341145.1,"[[-5, 0, -1, 3, 1, 1], [0, 1, 1]]","{2, 3, 5, 7}",{2}
1996.a.31936.1,"[[3, 4, 1, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 5}"
1996.b.510976.1,"[[1, 3, 1, 1], [0, 1, 1, 1]]","{17, 2, 3, 5, 7}","{2, 17}"
2001.a.2001.1,"[[0, 0, 0, 1, 1, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2001.b.2001.1,"[[-1, 1, 0, -2, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}","{2, 5}"
2007.a.6021.1,"[[0, 0, 0, 0, 1, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2012.a.16096.1,"[[-16, -13, 16, -4, -2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2016.c.774144.1,"[[-2, -1, -1, 2, 1, 1], []]","{2, 3, 5, 7}",{2}
2020.a.646400.1,"[[4, -4, 5, -1, 2], [0, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2027.a.2027.1,"[[-1, -2, -3, -2], [1, 0, 1, 1]]","{2, 3, 5, 7}",{}
2031.a.6093.1,"[[0, -1, 0, 0, -1], [1, 1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
2036.a.8144.1,"[[0, 0, 0, 1, 0, -2, 1], [1, 1]]","{2, 3, 5, 7}",{2}
2043.a.2043.1,"[[0, 1, 2, -4, 0, 1], [0, 1]]","{2, 3, 5, 7}",{2}
2054.a.4108.1,"[[0, 0, -2, -1, 2, 1], [1, 1]]","{2, 3, 5, 7}",{2}
2056.a.4112.1,"[[0, 1, 1, 1], [0, 1, 0, 1]]","{2, 3, 5, 7, 13}",{2}
2056.b.4112.1,"[[0, 1, -1, 3, -1, 2], [0, 1]]","{2, 3, 5, 7}","{2, 3}"
2056.c.8224.1,"[[0, -3, 3, 19, -15, 2], [1, 1]]","{2, 3, 5, 7}","{2, 5}"
2056.c.263168.1,"[[0, 0, 1, 1, -1, -2], [1, 1]]","{2, 3, 5, 7}","{2, 5}"
2059.a.2059.1,"[[0, -1, 0, 4, -4, 1], [1]]","{2, 3, 5, 7}","{2, 3}"
2060.a.4120.1,"[[0, -1, -1, 0, 1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
2061.a.6183.1,"[[0, -1, 0, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2063.a.2063.1,"[[0, -1, 1, 1], [1, 0, 1, 1]]","{2, 3, 5, 7}",{}
2069.a.2069.1,"[[-1, 3, 0, -3, 0, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}",{}
2075.a.10375.1,"[[0, -1, 1, 0, -2], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2085.a.6255.1,"[[0, 0, -1, 0, 2, 0, -1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2094.a.12564.1,"[[0, 0, 2, -1, -2, 1], [1, 1]]","{2, 3, 5, 7}",{2}
2094.b.50256.1,"[[1, 3, 0, -5, -1, 3], [0, 1]]","{2, 3, 5, 7}","{2, 3}"
2101.a.2101.1,"[[0, 0, 0, 0, -1, 1], [1]]","{2, 3, 5, 7}",{2}
2102.a.33632.1,"[[0, 0, 0, 0, 2, 1], [1, 1]]","{2, 3, 5, 7}",{2}
2102.b.67264.1,"[[0, 8, -14, 1, 4, 1], [0, 1]]","{2, 3, 5, 7, 61}","{2, 5}"
2106.a.711828.1,"[[-1, 0, 1, 1, -4, 2], [1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2112.a.33792.1,"[[0, 1, 3, 5, 6, 4], [1]]","{2, 3, 5, 7}","{2, 3}"
2117.a.2117.1,"[[0, 1, -1, -3, 1, 1], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2121.a.400869.1,"[[-1, 0, 8, -4, -2, 1], [0, 1]]","{2, 3, 5, 7}",{2}
2123.a.409739.1,"[[0, -1, 0, 4, -5, 1], [0, 1]]","{2, 3, 5, 7}",{2}
2127.a.6381.1,"[[0, 2, 4, 0, -6, 3], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2139.a.6417.1,"[[-1, -1, 0, 1, 1], [1, 0, 1, 1]]","{2, 3, 5, 7}",{2}
2145.a.70785.1,"[[-1, 2, 3, -5, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2148.a.77328.1,"[[0, -1, 3, -3, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2154.a.17232.1,"[[1, 1, 3, 2, 3, 1, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2154.a.465264.1,"[[-1, 18, -1, -9, 0, 1], [0, 1, 1]]","{2, 3, 5, 7}",{2}
2165.a.2165.1,"[[-2, 3, 1, -3, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2165.a.270625.1,"[[0, 1, 0, -4, 6, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2172.a.4344.1,"[[0, 0, -2, 1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{3}
2173.a.89093.1,"[[1, 6, 3, 3, 1], [0, 1, 1, 1]]","{2, 3, 5, 7}",{2}
2176.b.557056.1,"[[-1, -3, -2, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2188.a.140032.1,"[[0, -1, -1, 0, -4, -4], [1, 1, 1]]","{2, 3, 5, 7}","{2, 3, 5}"
2190.a.219000.1,"[[-26, 105, -69, -7, 7, 1], [0, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
2192.a.4384.1,"[[-1, -1, -2, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2207.a.2207.1,"[[0, -1], [1, 1, 1, 1]]","{2, 3, 5, 7}",{}
2208.b.847872.1,"[[0, 4, 1, -3, -4, 3], []]","{2, 3, 5, 7}","{2, 3}"
2214.a.816966.1,"[[0, -5, 27, -56, 3, 1], [1, 1]]","{2, 3, 5, 7}","{2, 3}"
2218.a.70976.1,"[[1, -1, 2, 0, -2], [0, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2223.a.6669.1,"[[-1, 0, 0, 4, 3, 3], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2225.a.11125.1,"[[0, 2, 4, 0, -3], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2230.a.8920.1,"[[1, -3, 2, -1, 1, 1], [0, 1]]","{2, 3, 5, 7}","{2, 3}"
2234.a.2234.1,"[[0, -1, 1, 0, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{}
2238.a.13428.1,"[[0, 0, 1, 0, -1, -1], [1, 1]]","{2, 3, 5, 7}",{2}
2243.a.2243.1,"[[0, -1, 0, 3, -3, 1], [1]]","{2, 3, 5, 7}",{2}
2251.a.2251.2,"[[0, 1, -1, -2, 1, 1], [0, 1]]","{2, 3, 5, 7, 11}",{2}
2251.a.2251.1,"[[-5, -17, -7, -3, 1], [0, 0, 1, 1]]","{2, 3, 5, 7, 11}",{2}
2261.a.2261.1,"[[0, 1, 1, 0, 0, 1], [1]]","{2, 3, 5, 7}","{2, 5}"
2272.a.36352.2,"[[8, 8, 7, 4, 2], [0, 0, 1, 1]]","{2, 3, 5, 7}",{2}
2272.a.36352.1,"[[0, 1, -16, 56, 31, 4], [0, 1]]","{2, 3, 5, 7}",{2}
2288.a.805376.1,"[[0, 0, -1, -1, -1, -4], [1, 1]]","{2, 3, 5, 7}",{2}
2290.a.4580.1,"[[-2, -1, 4, 0, -2], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2295.a.11475.1,"[[0, -1, 0, 1, -2, 5], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2298.a.20682.1,"[[63, -111, 0, 40, 12, 1], [0, 1]]","{2, 3, 5, 7}","{2, 3}"
2298.a.165456.1,"[[1, 1, 2, 2, 1, 1], [1, 1]]","{2, 3, 5, 7}","{2, 3}"
2299.a.2299.1,"[[0, 0, 2, 2, 2, 1], [1, 1, 0, 1]]","{2, 3, 5, 7, 11}",{}
2300.a.4600.1,"[[1, -3, 6, -6, 3, 1], [0, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
2301.a.6903.1,"[[0, -1, 0, 1, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2304.a.13824.2,"[[2, 1, 3, 1, 1], [1, 1, 1, 1]]","{2, 3, 5, 7}",{2}
2304.a.13824.1,"[[0, 0, -2, -1, 3, 2], [1]]","{2, 3, 5, 7}",{2}
2305.a.2305.1,"[[0, -1, 0, 0, 1, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2305.b.57625.1,"[[6, 2, 5, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2309.a.2309.1,"[[0, -1, 0, 0, -2, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2312.a.4624.1,"[[0, 1, 1, -1, -2, 0, 1], [0, 1]]","{17, 2, 3, 5, 7}","{2, 3}"
2312.a.18496.1,"[[0, 0, 0, 0, -1, 0, 1], [1, 1]]","{17, 2, 3, 5, 7}","{2, 3}"
2315.a.2315.1,"[[0, -1, -9, 16, -8, 1], [0, 1]]","{2, 3, 5, 7}",{2}
2320.a.11600.1,"[[0, 0, 0, 0, 0, 0, -1], [1, 1]]","{2, 3, 5, 7}","{2, 3}"
2320.b.185600.1,"[[1, -1, 0, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2326.a.4652.1,"[[0, 0, -1, 0, 1, -1], [1, 1]]","{2, 3, 5, 7}",{2}
2335.a.2335.1,"[[0, 0, 0, -1, -1, -1], [1, 1]]","{2, 3, 5, 7}",{2}
2336.a.37376.1,"[[0, 1, 0, -3, -1], [1, 1, 1, 1]]","{2, 3, 5, 7}",{2}
2341.a.2341.1,"[[-1, -1, 0, 2, 2, 1], [1]]","{2, 3, 5, 7}","{2, 3}"
2345.a.2345.1,"[[0, 1, -1, -3, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2345.a.293125.1,"[[0, -3, 6, 0, -8, -25], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2348.a.2348.1,"[[0, -1, -1, 0, 0, -1], [1, 1, 1]]","{2, 3, 5, 7}","{2, 5}"
2348.b.37568.1,"[[0, 0, -1, 2, -4, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
2348.c.601088.1,"[[-4, 7, -7, 4, -1], [1, 0, 0, 1]]","{2, 3, 5, 7, 11}","{2, 11}"
2349.a.2349.1,"[[0, -1, 0, 2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 7}"
2357.a.2357.1,"[[0, -1, -1, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7, 13}",{2}
2363.a.2363.1,"[[0, 1, 0, 2, 3, 1], [0, 1]]","{2, 3, 23, 5, 7}",{2}
2371.a.2371.1,"[[-2, 2, 1, -3, 0, 1], [1, 1]]","{2, 3, 5, 7, 41}",{2}
2386.a.2386.1,"[[0, 0, 1, 1, 2, 1, 1], [1, 1]]","{2, 3, 5, 7}",{}
2390.a.4780.1,"[[0, 0, -1, -2, 1, 1], [1, 1]]","{2, 3, 5, 7}",{2}
2404.a.4808.1,"[[0, 1, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2405.a.2405.1,"[[4, -1, -8, 0, 4, 1], [0, 0, 1]]","{2, 3, 5, 7}",{2}
2421.a.7263.1,"[[-18, -4, 15, 0, -4], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
2430.a.77760.1,"[[4, -4, -9, 3, 6, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2432.a.19456.1,"[[0, 1, 2, 0, 0, 2, 1], [1, 1]]","{2, 3, 5, 7, 13}",{2}
2442.a.80586.1,"[[2, 4, 10, 10, 11, 5, 3], [1, 1]]","{2, 3, 5, 7}",{2}
2445.a.22005.1,"[[0, -1, 3, -4, 4, 1], [1]]","{2, 3, 5, 7}","{2, 5}"
2457.a.95823.1,"[[2, -6, 6, -3, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2457.a.154791.1,"[[2, 0, -1, -3, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2470.a.321100.1,"[[1, 5, 9, 13, 9, 5], [0, 1]]","{2, 3, 5, 7}",{2}
2480.a.39680.1,"[[-3, -13, -16, 0, 8, 1], []]","{2, 3, 5, 7}","{2, 5}"
2488.a.9952.1,"[[0, 1, 2, 0, 0, 2], [1, 1]]","{2, 3, 5, 7}","{2, 5}"
2493.a.7479.1,"[[0, 1, -2, 2, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2496.a.29952.1,"[[0, 0, 0, 1, -1, 0, -1], [1, 1]]","{2, 3, 5, 7}","{2, 5}"
2505.a.2505.1,"[[0, 0, 1, 1, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
2507.a.2507.1,"[[0, 0, -2, 3, -2, 1], [1]]","{2, 3, 5, 7}",{2}
2511.a.2511.1,"[[0, -1, -1, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7, 73}",{2}
2512.a.160768.1,"[[0, 0, 2, 1, 3, 0, 1], [1, 1]]","{2, 3, 5, 7, 13}","{2, 13}"
2513.a.17591.1,"[[-4, 9, 0, -17, 9, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2520.b.635040.1,"[[-1, 1, 8, -16, 6, 2], [0, 1]]","{2, 3, 5, 7, 11}","{2, 5}"
2528.a.20224.1,"[[0, -1, 0, 0, 0, 1], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2528.a.161792.1,"[[1, -6, -1, 25, 27, 8], [0, 1]]","{2, 3, 5, 7}",{2}
2528.a.161792.2,"[[0, 5, 33, 78, 18, 1], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2528.b.40448.1,"[[0, 2, 6, -2, -9, 4], [1, 1]]","{2, 3, 5, 7}",{2}
2534.a.17738.1,"[[0, 1, 8, 18, 6, 1], [0, 1, 1]]","{2, 3, 5, 7}",{2}
2540.a.2540.1,"[[0, 0, 1, 1, 2, 1], [1, 1, 1]]","{2, 3, 5, 7}","{2, 5}"
2542.a.5084.1,"[[0, 0, -2, 3, -2, 1], [1, 1]]","{2, 3, 5, 7}",{2}
2547.a.7641.1,"[[0, 1, 0, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2556.a.30672.1,"[[1, 2, 1, -2, -2], [0, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2563.a.2563.1,"[[0, -1, -2, 0, 0, -1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2564.a.5128.1,"[[0, 0, -2], [1, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2575.a.2575.1,"[[0, 0, -1, 0, 1, -1], [1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
2575.b.2575.1,"[[0, 0, 1, 0, -2], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
2576.a.288512.1,"[[0, 7, -8, -3, 3, 1], []]","{2, 3, 5, 7}",{2}
2578.a.5156.1,"[[1, 1], [0, 1, 1, 1]]","{2, 3, 5, 7}",{2}
2588.a.82816.1,"[[0, 0, 2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{}
2591.a.2591.1,"[[0, -1, -1, 0, -1, 1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2592.a.5184.1,"[[0, -1, -1, -1, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2600.a.338000.1,"[[0, 1, -3, -5, 8, 10], [0, 1]]","{2, 3, 5, 7}",{2}
2602.a.41632.1,"[[4, 6, 0, -2, 0, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2611.a.18277.1,"[[-1, 1, 0, -1, -1, 1], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2613.a.2613.1,"[[0, 0, -1, 0, 1, 1], [1]]","{2, 3, 5, 7}","{2, 5}"
2618.a.89012.1,"[[1, 3, -1, 2], [0, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2618.b.921536.1,"[[1, -3, 1, 1, 0, 0, -1], [0, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
2634.a.2634.1,"[[-1, 1, -2, 0, 1, -1], [1, 1]]","{2, 3, 5, 7}","{2, 3}"
2646.a.18522.1,"[[-362, 192, 45, -32, 0, 1], [0, 1]]","{2, 3, 5, 7}","{2, 3}"
2650.a.5300.1,"[[0, 0, 0, -1, 0, 1], [1, 1]]","{2, 3, 5, 7}","{2, 3}"
2652.a.827424.1,"[[-3, -35, -102, 3, 9, 1], [0, 1, 1]]","{2, 3, 5, 7}",{2}
2663.a.2663.1,"[[0, -2, 2, 0, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
2672.a.342016.1,"[[0, 1, -1, -7, -6, 0, 1], [1]]","{2, 3, 5, 7}",{2}
2673.a.8019.1,"[[0, 1, 2, 0, -2], [1, 1, 0, 1]]","{2, 3, 5, 7, 13}","{2, 3}"
2675.a.13375.1,"[[6, 10, 0, -6, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}",{2}
2675.b.13375.1,"[[1, 3, -2, -4, 0, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2676.a.72252.1,"[[0, 1, -1, -10, 0, 9], [1, 1, 1]]","{2, 3, 5, 7}","{2, 5}"
2677.a.2677.1,"[[0, 1, 3, 4, 4, 1], [1]]","{2, 3, 5, 7}","{2, 5}"
2690.a.26900.1,"[[1, -3, 3, 0, -2], [0, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2693.a.2693.1,"[[0, 0, 0, 1, 2, 1], [1]]","{2, 3, 5, 7}",{2}
2696.a.10784.1,"[[-1, -1, 5, 2, -8, 2], [0, 1]]","{2, 3, 5, 7}",{2}
2697.a.2697.1,"[[-1, 0, -1, -2, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2697.b.24273.1,"[[-1, 0, -1, 1, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2714.a.5428.1,"[[0, 1, 0, -2, -1, 2], [1, 0, 1]]","{2, 3, 5, 7}",{2}
2720.a.348160.1,"[[0, -4, -11, 0, 4, 1], []]","{2, 3, 5, 7}",{2}
2722.a.2722.1,"[[-1, -1, 0, 0, -1], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 5}"
2725.a.2725.1,"[[0, 1, 1, 0, 1, 1], [1]]","{2, 3, 5, 7, 11, 13}","{2, 3}"
2735.a.13675.1,"[[-6, 24, -76, -39, -1, 1], [1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
2736.a.10944.1,"[[0, 1, 0, -4, -3, 2], [1]]","{2, 3, 5, 7}","{2, 5}"
2739.a.2739.1,"[[-8, 7, 22, 25, 40, 26, 3], [1, 1, 1]]","{2, 3, 5, 7}","{2, 3}"
2739.a.73953.1,"[[1, -3, -2, 0, 2, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 3}"
2743.a.2743.1,"[[0, -1, -1, 0, -1, -1], [1, 1, 1]]","{2, 3, 5, 7}",{2}
2745.a.502335.1,"[[0, -1, 0, 5, 7, 3], [0, 1, 1]]","{2, 3, 5, 7}",{2}
2758.a.5516.1,"[[1, -1, 1], [0, 1, 0, 1]]","{2, 3, 5, 7}",{2}
2768.a.354304.1,"[[0, 0, -2, -5, -4, 0, 1], [1]]","{2, 3, 5, 7, 13}",{3}
2780.a.5560.1,"[[4, -7, 1, 1, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{}
